strain	date	country	host	HA_clade
A/swine/Rhede/17728/2013|HA|2013.304	2013-04-21	Germany	swine	1970.1
A/swine/Rietberg/22412/2015|HA|2015.874	2015-11-16	Germany	swine	2000.3
A/swine/Rietberg/19732/2014|HA|2014.134	2014-02-18	Germany	swine	2000.3
A/human/Romania/259060/2020|HA|2020.148	2020-02-24	out	human	Other-Human-2010
A/human/Romania/521422/2022|HA|2022.460	2022-06-17	out	human	Other-Human-2020
A/human/Romania/4584/2022|HA|2022.945	2022-12-11	out	human	Other-Human-2020
A/human/Romania/259804/2020|HA|2020.183	2020-03-07	out	human	Other-Human-2010
A/swine/Roswinkel/18812/2013|HA|2013.748	2013-10-XX	Netherlands	swine	1970.1
A/human/Rouen/41245/2021|HA|2021.871	2021-11-14	out	human	Other-Human-2010
A/human/Russia/07301044/2017|HA|2017.575	2017-07-29	out	human	?
A/human/Russia/121/2017|HA|2017.852	2017-11-07	out	human	Other-Human-2010-like
A/human/Sachsen/43/2012|HA|2012.863	2012-11-11	out	human	?
A/human/Saint-Petersburg/RII02/2012|HA|2012.090	2012-02-02	out	human	?
A/human/Saint-Petersburg/6/2013|HA|2013.118	2013-02-13	out	human	?
A/human/Saint-Petersburg/RII-4751S/2021|HA|2021.915	2021-11-30	out	human	Other-Human-2020
A/human/Sakha/2V/2018|HA|2018.912	2018-11-29	out	human	Other-Human-2010-like
A/swine/Salzkotten/17022/2013|HA|2013.047	2013-01-18	Germany	swine	1970.1
A/human/Samara/CRIE-14/2014|HA|2014.123	2014-02-14	out	human	Other-Human-2010-like
A/human/Scotland/50/2003|HA|2003.833	2003-11-XX	out	human	Other-Human-2000
A/swine/Serbia/4/2018|HA|2018.063	2018-01-23	Serbia	swine	1970.1
A/human/Serbia/1692/2022|HA|2022.027	2022-01-10	out	human	Other-Human-2020
A/human/Serbia-NS/1517/2016|HA|2016.109	2016-02-09	out	human	?
A/human/Siena/3/1995|HA|1995.071	1995-01-26	out	human	?
A/human/Siena/3/1988|HA|1988.096	1988-02-05	out	human	Other-Human-1980-like
A/human/Siena/1/1997|HA|1997.014	1997-01-06	out	human	?
A/human/Sizyabsk/RII-4261S/2019|HA|2019.195	2019-03-13	out	human	Other-Human-2010
A/human/Slovenia/9707/2022|HA|2022.222	2022-03-23	out	human	Other-Human-2020
A/human/Slovenia/942/2018|HA|2018.118	2018-02-13	out	human	Other-Human-2010-like
A/human/Smolensk/RII01S/2013|HA|2013.044	2013-01-17	out	human	?
A/human/Smolensk/8/CRIE/2019|HA|2019.792	2019-10-17	out	human	Other-Human-2020-like
A/swine/Spain/21350/2015|HA|2015.151	2015-02-25	Spain	swine	1970.1
A/swine/Spain/33936/2012|HA|2012.508	2012-07-04	Spain	swine	1970.1
A/swine/Spain/29403/2012|HA|2012.090	2012-02-02	Spain	swine	1970.1
A/swine/Spain/31768/2012|HA|2012.301	2012-04-20	Spain	swine	1970.1
A/swine/Spain/35944/2012|HA|2012.700	2012-09-13	Spain	swine	1970.1
A/swine/Spain/28778/2012|HA|2012.000	2012-07-02	Spain	swine	1970.1
A/swine/Spain/001/2017|HA|2017.148	2017-02-24	Spain	swine	1970.1
A/swine/Spain/018/2017|HA|2017.337	2017-05-04	Spain	swine	1970.1
A/swine/Spain/041/2017|HA|2017.488	2017-06-28	Spain	swine	1970.1
A/swine/Spain/AR8089/2016|HA|2016.814|H3N1	2016-10-24	Spain	swine	1970.1
A/swine/Spain/143/2018|HA|2018.479	2018-06-24	Spain	swine	2000.3
A/swine/Spain/44579-1/2020|HA|2020.377	2020-05-17	Spain	swine	2000.3
A/swine/Spain/31001/2019|HA|2019.540|H3N1	2019-07-17	Spain	swine	2000.3
A/swine/Spain/46314-2/2020|HA|2020.328|H3N1	2020-04-30	Spain	swine	2000.3
A/swine/Spain/46001-1/2019|HA|2019.732|H3N1	2019-09-25	Spain	swine	2000.3
A/swine/Spain/45690-12/2019|HA|2019.277|H3N1	2019-04-12	Spain	swine	2000.3
A/swine/Spain/46314-1/2020|HA|2020.139|H3N1	2020-02-20	Spain	swine	2000.3
A/swine/Spain/BM37/2019|HA|2019.162|H3N1	2019-03-XX	Spain	swine	2000.3
A/swine/Spain/45690-10/2018|HA|2018.847|H3N1	2018-11-06	Spain	swine	2000.3
A/swine/Spain/45690-11/2019|HA|2019.277|H3N1	2019-04-12	Spain	swine	2000.3
A/swine/Sprakensehl/14752/2012|HA|2012.107	2012-02-09	Germany	swine	1970.1
A/human/St-Etienne/1998/2018|HA|2018.786	2018-10-14	out	human	Other-Human-2010-like
A/swine/Stapelfeld/18554/2013|HA|2013.674	2013-09-04	Germany	swine	1970.1
A/human/Stavropol/8/2015|HA|2015.940	2015-12-10	out	human	?
A/swine/Steinfurt/17118/2013|HA|2013.096	2013-02-05	Germany	swine	1970.1
A/swine/Steinfurt/14736/2012|HA|2012.087	2012-02-XX	Germany	swine	1970.1
A/human/Stockholm/12/1988|HA|1988.000	1988-XX-XX	out	human	?
A/human/Stockholm/12/2021|HA|2021.781	2021-10-13	out	human	Other-Human-2010
A/human/Stockholm/29/2012|HA|2012.568	2012-07-26	out	human	?
A/human/Stockholm/45/2015|HA|2015.770	2015-10-09	out	human	?
A/human/Stockholm/24/2016|HA|2016.142	2016-02-21	out	human	?
A/human/Stockholm/5/2012|HA|2012.030	2012-01-11	out	human	?
A/human/Stockholm/12/1992|HA|1992.833	1992-10-31	out	human	Other-Human-1990
A/human/Stockholm/29/2013|HA|2013.942	2013-12-10	out	human	Other-Human-2010-like
A/human/Stockholm/40/2015|HA|2015.630	2015-08-18	out	human	?
A/human/Stockholm/27/2013|HA|2013.825	2013-10-29	out	human	Other-Human-2010-like
A/human/Stockholm/30/2012|HA|2012.527	2012-07-11	out	human	2010.1-like
A/human/Sundsvall/1/2018|HA|2018.921	2018-12-03	out	human	Other-Human-2010
A/human/Swansea/9391/2018|HA|2018.200	2018-03-15	out	human	Other-Human-2010-like
A/human/Swansea/7185/2019|HA|2019.058	2019-01-22	out	human	Other-Human-2010
A/human/Swansea/9497/2018|HA|2018.203	2018-03-16	out	human	Other-Human-2010-like
A/human/Sweden/10/2012|HA|2012.126	2012-02-16	out	human	2010.1-like
A/human/Switzerland/7586983/2012|HA|2012.951	2012-12-14	out	human	?
A/human/Switzerland/51230/2021|HA|2021.918	2021-12-02	out	human	Other-Human-2010
A/swine/Telgte/19839/2014|HA|2014.189	2014-03-10	Germany	swine	1970.1
A/swine/Telgte/17626/2013|HA|2013.274	2013-04-11	Germany	swine	1970.1
A/swine/Telgte/19994/2014|HA|2014.285	2014-04-15	Germany	swine	1970.1
A/swine/Telgte/19851/2014|HA|2014.195	2014-03-13	Germany	swine	1970.1
A/human/United_Kingdom/UO-99C/2022|HA|2022.693	2022-09-10	out	human	Other-Human-2020
A/human/Uppsala/15/2021|HA|2021.912	2021-11-29	out	human	Other-Human-2020
A/human/Valencia/S01030G/2012|HA|2012.052	2012-01-20	out	human	?
A/human/Valencia/10_1282_20180118|HA|2018.047	2018-01-18	out	human	Other-Human-2010-like
A/human/Valladolid/180/2017|HA|2017.767	2017-10-07	out	human	Other-Human-2010-like
A/human/Varese/22/2022|HA|2022.307	2022-04-23	out	human	Other-Human-2020
A/swine/Warendorf/18914/2013|HA|2013.789	2013-10-15	Germany	swine	1970.1
A/swine/Wielen/21300/2015|HA|2015.115	2015-02-11	Germany	swine	1970.1
A/human/Wrexham/7024/2017|HA|2017.849	2017-11-06	out	human	Other-Human-2010-like
A/human/Ystad/2/2018|HA|2018.923	2018-12-03	out	human	?
A/swine/Zevenaar/21030/2014|HA|2014.901	2014-11-25	Netherlands	swine	1970.1
A/swine/Zweiflingen/20028/2014|HA|2014.307	2014-04-23	Germany	swine	1970.1
