strain	date	Subtype	Host	Country	HA_clade
A/swine/Denmark/2015_03655_3p1/2015	2015-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_23655_1p1/2015	2015-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2017_15222_2_2p1/2017	2017-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2017_15824_1_1p1/2017	2017-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2016_17837_1p1/2016	2016-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_05775_2p1/2015	2015-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_19295_1p1/2015	2015-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2016_321_1p1/2016	2016-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_9477_1p1_1/2014	2014-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_05736_1p1/2015	2015-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2017_11767_4_4p1/2017	2017-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_10377_1p1/2015	2015-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_10_203_1p1/2014	2014-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_10_329_2p1/2014	2014-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_10781_1p1/2014	2014-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_03627_2p1/2015	2015-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2016_17110_2p1/2016	2016-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2017_8009_3_3p1/2017	2017-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_00798_2p1/2015	2015-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2015_04804_3p1/2015	2015-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_10_365_3p1/2014	2014-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2013_10_1325_5p1/2013	2013-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2017_2271_1_1p1/2017	2017-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2016_3929_1p1/2016	2016-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_6252_2p1/2014	2014-01	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/2014_10_231_1p1/2014	2014-01	H1N1	swine	Denmark	1A.3.3.2
A/swine/France/37-160178/2016	2016-05-02	H1N2	swine	France	1A.3.3.2
A/swine/Italy/6352-11/2013	2013-01	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/6352-17/2013	2013-01	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/153511-11/2013	2013-06	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/455389/2021	2021-12-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/447409/2021	2021-12-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/109752-1/2022	2022-03-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/106876-2/2022	2022-03-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/45103-17/2022	2022-01-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/13502/2022	2022-01-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/262599-4/2022	2022-08-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/33582/2022	2022-01-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/245347/2021	2021-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/234169/2021	2021-06-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/236978-5/2021	2021-06-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/278987/2021	2021-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/305886/2021	2021-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/313846-1/2021	2021-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/313846-3/2021	2021-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/74500/2021	2021-03-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/79604/2021	2021-03-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/157329_3/2021	2021-06-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/70217/2021	2021-03-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/45924/2021	2021-03-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/124851/2021	2021-06-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/275/2021	2021-01-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/391086/2021	2020-12-XX	H1N1	swine	Italy	1A.3.3.2
