strain	date	Subtype	Host	Country	HA_clade
A/swine/France/29-200291/2020	2020-09-09	H1N2	swine	France	1B.1.2.3
A/swine/France/35-190213/2019	2019-05-13	H1N2	swine	France	1B.1.2.3
A/swine/France/56-190288/2019	2019-05-06	H1N2	swine	France	1B.1.2.3
A/swine/France/59-190057/2019	2019-01-24	H1N2	swine	France	1B.1.2.1
A/swine/France/59-190174/2019	2019-05-02	H1N2	swine	France	1B.1.2.1
A/swine/Spain/45600-3/2017	2017-07-28	H1N2	swine	Spain	1B.1.2
A/swine/Spain/40340-2/2017	2017-07-03	H1N2	swine	Spain	1B.1.2.1
A/swine/Spain/45600-1/2017	2017-07-27	H1N2	swine	Spain	1B.1.2
A/swine/spain/45600-4/2017	2017-07-28	H1N2	swine	Spain	1B.1.2
A/swine/France/22-180459/2018	2018-11-09	H1N1	swine	France	1B.1.2.3
A/swine/Spain/45690-2/2016	2016-12-27	H1N1	swine	Spain	1B.1.2
A/swine/Italy/438746/2021	2021-12-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/122884-001/2022	2022-03-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/24394-15/2022	2022-01-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/21295-2/2022	2022-01-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/21295-1/2022	2022-01-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/286519/2021	2021-09-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/36005/2021	2021-03-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/195259-1/2021	2021-06-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/346921/2021	2021-10-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/35103/2021	2021-10-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/39688/2021	2021-03-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/46249/2021	2021-02-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/49311/2021	2021-03-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/81755/2021	2021-03-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/254662/2021	2021-12-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/135572/2021	2021-06-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/113200_1/2021	2021-06-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Italy/110217_1/2021	2021-06-XX	H1N2	swine	Italy	1B.1.2.2
